flattening,features,encoding,model,r2_score,max_error,mean_absolute_error,mean_squared_error
,2,tabular,linear_regression,-2.3934116644731573,2.3821639393936143,1.5364666261971092,3.1836998092498225
,2,tabular,regression_tree,-2.3934116644731573,2.3821639393936143,1.5364666261971092,3.1836998092498225
,4,tabular,linear_regression,-0.7153999292297579,2.6829291236193704,1.1329537220547456,1.6093887118537484
,4,tabular,regression_tree,-0.7142071290459306,2.686586657417407,1.132282369031212,1.6082696263748242
,10,tabular,linear_regression,0.5646463328935396,1.3872462875070097,0.5415964804744038,0.4084489369309211
,10,tabular,regression_tree,0.48929011221027463,2.168461189345811,0.449566046643149,0.4791481650637228
,17,tabular,linear_regression,0.538420990937158,1.6652941945951114,0.5444777142838281,0.43305356037173964
,17,tabular,regression_tree,0.4869906582519813,2.168461189345811,0.44898434045175634,0.48130551343528677
ALL,2,tabular,linear_regression,-2.3934116644731573,2.3821639393936143,1.5364666261971092,3.1836998092498225
ALL,2,tabular,regression_tree,-2.3934116644731573,2.3821639393936143,1.5364666261971092,3.1836998092498225
ALL,4,tabular,linear_regression,-0.7153307904995643,2.682864750603013,1.132926870650837,1.609323845876999
ALL,4,tabular,regression_tree,-0.7142071290459311,2.6865866574174064,1.1322823690312125,1.6082696263748246
ALL,10,tabular,linear_regression,0.3774853720202671,1.937536525132718,0.631382389086589,0.5840434047844881
ALL,10,tabular,regression_tree,0.4338525871966754,2.168461189345811,0.48214035790302856,0.5311596671337141
ALL,17,tabular,linear_regression,0.38123644282325386,1.9075110429549835,0.6310864061003889,0.5805241490676001
ALL,17,tabular,regression_tree,0.43678608968449284,2.168461189345811,0.479714007786669,0.5284074542475866
